target,scan_time,port,open
192.168.0.5,2025-10-24T20:34:41.970186,69,False
192.168.0.5,2025-10-24T20:34:41.970186,70,False
192.168.0.5,2025-10-24T20:34:41.970186,71,False
192.168.0.5,2025-10-24T20:34:41.970186,72,False
192.168.0.5,2025-10-24T20:34:41.970186,73,False
192.168.0.5,2025-10-24T20:34:41.970186,74,False
192.168.0.5,2025-10-24T20:34:41.970186,75,False
192.168.0.5,2025-10-24T20:34:41.970186,76,False
192.168.0.5,2025-10-24T20:34:41.970186,77,False
192.168.0.5,2025-10-24T20:34:41.970186,78,False
192.168.0.5,2025-10-24T20:34:41.970186,79,False
192.168.0.5,2025-10-24T20:34:41.970186,80,False
192.168.0.5,2025-10-24T20:34:41.970186,81,False
192.168.0.5,2025-10-24T20:34:41.970186,82,False
192.168.0.5,2025-10-24T20:34:41.970186,83,False
192.168.0.5,2025-10-24T20:34:41.970186,84,False
192.168.0.5,2025-10-24T20:34:41.970186,85,False
192.168.0.5,2025-10-24T20:34:41.970186,86,False
192.168.0.5,2025-10-24T20:34:41.970186,87,False
192.168.0.5,2025-10-24T20:34:41.970186,88,False
192.168.0.5,2025-10-24T20:34:41.970186,89,False
192.168.0.5,2025-10-24T20:34:41.970186,90,False
192.168.0.5,2025-10-24T20:34:41.970186,91,False
192.168.0.5,2025-10-24T20:34:41.970186,92,False
192.168.0.5,2025-10-24T20:34:41.970186,93,False
192.168.0.5,2025-10-24T20:34:41.970186,94,False
192.168.0.5,2025-10-24T20:34:41.970186,95,False
192.168.0.5,2025-10-24T20:34:41.970186,96,False
192.168.0.5,2025-10-24T20:34:41.970186,97,False
192.168.0.5,2025-10-24T20:34:41.970186,98,False
192.168.0.5,2025-10-24T20:34:41.970186,99,False
192.168.0.5,2025-10-24T20:34:41.970186,100,False
